subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
47,featuregraph,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,4.0,59.0
47,featuregraph,ann2,178,176,175,3,1,0.9831460674157303,0.9943181818181818,3.0,14.0
47,llm_selected_baseline,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,6.0,34.0
47,llm_selected_baseline,ann2,178,176,176,2,0,0.9887640449438202,1.0,6.0,45.0
48,featuregraph,ann1,146,140,117,29,23,0.8013698630136986,0.8357142857142857,38.0,62.0
48,featuregraph,ann2,146,141,123,23,18,0.8424657534246576,0.8723404255319149,41.0,63.0
48,llm_selected_baseline,ann1,144,140,137,7,3,0.9513888888888888,0.9785714285714285,8.0,62.0
48,llm_selected_baseline,ann2,144,141,139,5,2,0.9652777777777778,0.9858156028368794,9.0,30.0
49,featuregraph,ann1,139,139,137,2,2,0.9856115107913669,0.9856115107913669,9.0,50.0
49,featuregraph,ann2,139,138,137,2,1,0.9856115107913669,0.9927536231884058,4.0,50.0
49,llm_selected_baseline,ann1,137,139,137,0,2,1.0,0.9856115107913669,8.0,33.0
49,llm_selected_baseline,ann2,137,138,136,1,2,0.9927007299270073,0.9855072463768116,9.0,37.0
50,featuregraph,ann1,118,118,61,57,57,0.5169491525423728,0.5169491525423728,54.0,63.0
50,featuregraph,ann2,118,118,49,69,69,0.4152542372881356,0.4152542372881356,57.0,63.0
50,llm_selected_baseline,ann1,118,118,118,0,0,1.0,1.0,10.0,51.0
50,llm_selected_baseline,ann2,118,118,118,0,0,1.0,1.0,7.0,40.0
51,featuregraph,ann1,146,147,146,0,1,1.0,0.9931972789115646,7.0,37.0
51,featuregraph,ann2,146,147,146,0,1,1.0,0.9931972789115646,4.0,30.0
51,llm_selected_baseline,ann1,146,147,146,0,1,1.0,0.9931972789115646,8.0,28.0
51,llm_selected_baseline,ann2,146,147,146,0,1,1.0,0.9931972789115646,11.0,30.0
52,featuregraph,ann1,149,148,147,2,1,0.9865771812080537,0.9932432432432432,6.0,59.0
52,featuregraph,ann2,149,148,146,3,2,0.9798657718120806,0.9864864864864865,4.0,63.0
52,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,14.0,33.0
52,llm_selected_baseline,ann2,147,148,147,0,1,1.0,0.9932432432432432,14.0,38.0
53,featuregraph,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,10.0,50.0
53,featuregraph,ann2,155,155,155,0,0,1.0,1.0,4.0,48.0
53,llm_selected_baseline,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,10.0,47.0
53,llm_selected_baseline,ann2,155,155,155,0,0,1.0,1.0,11.0,37.0
