subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
25.0,127.0,32.0,0.0,159.0,127.0,0.7987421383647799,1.0,38.0,232.0,16.0,39.0,38.0,103.0,0.040000000000000036,4.744,0.002449999999999841,0.6528100000000001,0.09582618005944143,0.7423595136378573,3.669669291338583,3.7412913385826774,1.709888661417323,1.7154526771653544,0.7318694100079068,0.6581715698030375,envelope,absolute,60001,159,128,2,0,-37.0,-16.0,-37.0,0.0,0.0,0.09435595413376174,32
26.0,117.0,38.0,19.0,155.0,136.0,0.7548387096774194,0.8602941176470589,34.0,251.0,24.0,60.0,37.0,331.0,0.15200000000000002,3.968,0.0,0.50049,0.07141058121101684,0.9503950834064969,3.251379310344827,3.4404827586206896,0.8270210989743588,0.843271399145299,0.6885761301969203,0.6705015994254832,envelope,absolute,60001,156,143,2,1,-24.0,-22.0,-31.0,0.020000000000000018,0.0,0.024519350811485596,21
27.0,77.0,62.0,9.0,139.0,86.0,0.5539568345323741,0.8953488372093024,35.0,466.0,20.0,63.0,33.0,470.0,0.3360000000000003,6.224,0.0,0.06214000000000003,0.14098260604211177,0.6536046820963022,4.1804675324675316,5.414753246753247,0.3702430909090909,0.3778082337662338,0.7667598922699354,0.7057480457808387,envelope,absolute,60001,140,90,2,1,34.0,-16.0,31.0,-0.18400000000000016,0.0,0.07439489597041526,41
28.0,66.0,81.0,76.0,147.0,142.0,0.4489795918367347,0.4647887323943662,19.0,131.0,57.0,63.0,18.5,62.0,0.07200000000000006,2.064,0.0,0.0,0.1686107708974916,0.35622852335944255,3.209212121212121,3.1979393939393934,0.989691515151515,0.989691515151515,0.7652976000622415,0.8572354854069894,envelope,absolute,60001,148,146,2,1,16.5,-57.0,14.5,0.03200000000000003,0.0,-0.11359655786550527,48
29.0,135.0,23.0,13.0,158.0,148.0,0.8544303797468354,0.9121621621621622,21.0,210.0,24.0,63.0,21.0,288.0,0.2240000000000002,3.2560000000000002,0.0,0.13099099999999997,0.09145912480652885,0.5881310418904404,3.0993777777777782,3.1990518518518525,0.3612463185185185,0.36945745925925927,0.7930378432046009,0.8193028242375995,envelope,absolute,60001,159,150,2,1,21.0,-19.0,21.0,-0.02400000000000002,0.0,-0.01107383529274486,4
30.0,144.0,8.0,2.0,152.0,146.0,0.9473684210526315,0.9863013698630136,39.0,107.0,6.0,59.0,39.0,107.0,0.07200000000000006,1.3279999999999994,0.0030920000000000947,0.1051000000000002,0.1262816654272083,0.2880781089414184,3.2015000000000002,3.194555555555555,1.289752776388889,1.2939601472222222,0.9069997834384336,0.8418826377246355,envelope,absolute,60001,152,151,2,0,16.5,-2.0,12.5,0.0040000000000000036,0.0,0.07411390646120947,5
31.0,138.0,22.0,0.0,160.0,138.0,0.8625,1.0,29.0,197.0,20.0,56.0,29.0,131.0,0.1479999999999999,2.832,0.0,0.07917599999999991,0.09588185369724767,0.49425477025118025,3.138492753623188,3.2644637681159425,0.8887546027536232,0.890178325942029,0.9026966244794455,0.8389885955728305,envelope,absolute,60001,160,151,2,0,20.5,-17.0,23.0,-0.02400000000000002,0.0,0.04564528006474172,15
32.0,196.0,0.0,0.0,196.0,196.0,1.0,1.0,14.0,45.0,7.0,32.0,14.0,45.0,0.1120000000000001,0.28000000000000025,0.0,0.08738000000000001,0.05103642253170182,0.19287833827893175,2.4346666666666668,2.4337142857142857,1.6748232142857145,1.6771910714285716,0.9173145539419637,0.9025616805539747,envelope,absolute,60001,196,197,2,0,-14.0,-7.0,-14.0,-0.031999999999999584,0.0,0.021654459524021008,0
33.0,101.0,68.0,12.0,169.0,113.0,0.5976331360946746,0.8938053097345132,50.0,377.0,33.0,58.0,29.0,300.0,2.6559999999999997,6.336,0.0,0.11729999999999996,0.13495732042130482,0.8467703913248468,2.3706930693069306,4.150019801980198,0.9655932681188117,0.9675483403960394,0.6749349357347524,0.7139480617079929,envelope,absolute,60001,169,114,2,0,4.0,-33.0,-4.0,-2.6559999999999997,0.0,-0.03033044287357367,62
34.0,136.0,10.0,0.0,146.0,136.0,0.9315068493150684,1.0,48.0,299.0,6.0,21.0,47.0,72.0,0.03200000000000003,3.3439999999999994,0.0037199999999999456,1.0334699999999999,0.1860567250144814,0.38169081139903427,3.3122352941176465,3.4072941176470586,1.0574850735294117,1.073995588235294,0.8473698570370214,0.6817245011479245,envelope,absolute,60001,147,142,2,1,47.0,5.0,47.0,0.0,0.0,0.18555556551211227,6
35.0,22.0,118.0,99.0,140.0,121.0,0.15714285714285714,0.18181818181818182,34.0,83.0,52.0,63.0,50.0,378.0,0.27600000000000025,2.4400000000000004,0.0,0.0,0.21256864634894113,0.5401752963434882,3.3127272727272725,2.930181818181818,0.9901804545454546,0.9901804545454546,0.6372438947584921,0.8656000671748825,envelope,absolute,60001,141,159,2,0,-19.0,-52.0,44.5,0.256,0.0,-0.2079617688296877,99
36.0,147.0,2.0,0.0,149.0,147.0,0.9865771812080537,1.0,17.0,74.0,20.0,63.0,17.0,230.0,0.07200000000000006,1.3279999999999998,0.0,0.10873599999999994,0.050350419128761814,0.2225561880459318,3.2281095890410962,3.2481095890410963,0.828809224489796,0.8287031360544218,0.877661715587311,0.8995905964959232,envelope,absolute,60001,149,147,2,0,9.0,19.0,9.0,0.0,0.0,-0.02331755314211459,1
37.0,146.0,28.0,3.0,174.0,149.0,0.8390804597701149,0.9798657718120806,28.0,139.0,17.5,58.0,27.5,197.0,0.14399999999999968,1.9440000000000002,0.0,0.1635899999999999,0.10401293778018261,0.5822916666666667,3.100689655172414,3.1483287671232874,1.0546884541095891,1.0694147479452054,0.8002533128239561,0.7758925644434266,envelope,absolute,60001,175,153,2,1,-25.0,-12.5,-26.0,-0.023999999999999577,0.0,0.04016980375724183,24
38.0,44.0,93.0,86.0,137.0,130.0,0.32116788321167883,0.3384615384615385,34.5,75.0,33.0,63.0,34.0,80.0,0.20400000000000018,2.04,0.0,0.1261,0.1339297686433355,0.6243127147766323,3.2765454545454546,3.2560000000000002,0.8775207681818183,0.8851855000000003,0.706991046724868,0.7868369104672562,envelope,absolute,60001,138,135,2,1,5.5,-29.0,9.5,0.06400000000000006,0.0,-0.06706970646579219,77
39.0,0.0,112.0,54.0,112.0,54.0,0.0,0.0,,,,,,,,,,,,,,,,,,,envelope,absolute,60001,113,180,2,1,,,,,,,108
40.0,112.0,35.0,13.0,147.0,125.0,0.7619047619047619,0.896,41.0,200.0,40.0,62.0,43.0,243.0,0.12799999999999967,2.776,0.0,0.28756200000000004,0.08250869295061675,0.5844459799835053,3.4436036036036035,3.5655,0.9226424276785714,0.9291385474999999,0.7345732457815591,0.7854545413969731,envelope,absolute,60001,147,144,2,0,-33.0,-40.0,-32.0,-0.02400000000000002,0.0,-0.02295039829893719,17
41.0,111.0,14.0,0.0,125.0,111.0,0.888,1.0,30.0,266.0,7.0,41.0,31.0,99.0,0.07200000000000006,3.64,0.0,0.08801999999999999,0.06304271912466541,0.284912103779423,4.192792792792793,4.249441441441441,1.4306504054054052,1.4319937387387387,0.9140748848753927,0.8558457728184357,envelope,absolute,60001,126,113,2,1,-17.0,6.0,-17.0,0.0,0.0,0.049409821536478216,13
42.0,137.0,1.0,0.0,138.0,137.0,0.9927536231884058,1.0,49.0,69.0,41.0,51.0,49.0,69.0,0.040000000000000036,0.23999999999999977,0.0,0.0,0.1154162328053927,0.34728033472803355,3.4724671532846716,3.4724087591240878,1.0004886400000002,1.0004886400000002,0.8510505309592726,0.8221669081707408,envelope,absolute,60001,138,138,2,0,45.0,-41.0,45.0,0.0,0.0,0.026415094339622636,0
43.0,139.0,3.0,0.0,142.0,139.0,0.9788732394366197,1.0,15.0,91.0,17.0,56.0,15.0,134.0,0.1200000000000001,2.2159999999999997,0.0009770000000000056,0.11926000000000003,0.0882120790117994,0.26069342873678114,3.3988489208633097,3.42146762589928,0.9218406050359713,0.9232049575539566,0.9135674079927752,0.8518523068273433,envelope,absolute,60001,142,140,2,0,14.0,-13.0,14.0,-0.008000000000000007,0.0,0.06870799103808811,2
44.0,130.0,6.0,2.0,136.0,132.0,0.9558823529411765,0.9848484848484849,37.0,322.0,18.0,57.0,37.0,126.0,0.2160000000000002,2.6639999999999997,0.0,0.17688800000000005,0.1523542346902193,0.381544701706946,3.5488,3.595446153846154,0.7676105233846153,0.7849008058461538,0.8036831142016032,0.6728850366794122,envelope,absolute,60001,136,133,2,0,37.0,-1.0,37.0,-0.040000000000000036,0.0,0.13947348186809472,1
45.0,127.0,2.0,0.0,129.0,127.0,0.9844961240310077,1.0,20.0,254.0,16.0,60.0,20.0,49.0,0.16000000000000014,2.8960000000000004,0.0,0.026339999999999975,0.05833333333333335,0.9166666666666666,3.68736507936508,3.7391111111111117,0.32887163897637806,0.330080512992126,0.8806821723234333,0.9231429052831488,envelope,absolute,60001,130,128,2,1,-12.0,-1.0,-14.0,-0.051999999999999824,0.0,-0.030048718815053777,1
46.0,93.0,62.0,30.0,155.0,123.0,0.6,0.7560975609756098,17.0,402.0,16.0,63.0,16.0,408.0,0.30000000000000004,6.008,0.0,0.27998864000000007,0.11532170119956375,0.6368207977052812,3.3240000000000007,3.6845217391304352,0.7940100352688173,0.8060472980645162,0.7449515467744692,0.7590657598209452,envelope,absolute,60001,156,134,2,1,6.0,-4.0,2.0,-0.051999999999999935,0.0,-0.019957803501168936,48
47.0,172.0,5.0,0.0,177.0,172.0,0.9717514124293786,1.0,11.0,50.0,5.0,45.0,11.0,50.0,0.03999999999999959,0.3760000000000001,0.0,0.26634,0.02772730762316955,0.26479919846372213,2.713860465116279,2.7142325581395355,1.1642157441860466,1.1654655232558142,0.9501838697641674,0.9302672457602371,envelope,absolute,60001,178,178,2,1,-11.0,3.0,-11.0,0.023999999999999577,0.0,0.023982634678048453,1
48.0,113.0,33.0,28.0,146.0,141.0,0.773972602739726,0.8014184397163121,12.0,366.0,35.0,63.0,13.0,101.0,0.12799999999999967,4.32,0.0,0.06596499999999994,0.0889016676250719,0.4552899329969393,3.4096991150442477,3.3757168141592917,0.8857686428318585,0.8886658580530974,0.8204435951272807,0.888161561701441,envelope,absolute,60001,146,144,2,0,3.0,-33.0,-2.0,0.040000000000000036,0.0,-0.07243876865689669,14
49.0,135.0,4.0,0.0,139.0,135.0,0.9712230215827338,1.0,16.0,55.0,10.0,59.0,16.0,315.0,0.09600000000000009,1.944,0.0,0.13587,0.05809973924380707,0.7574823943661972,3.4688955223880598,3.4934328358208955,0.5944536,0.6011080148148148,0.8945303480139023,0.8749562145087745,envelope,absolute,60001,139,137,2,0,-15.0,-4.0,-15.0,0.0,0.0,0.019315966684387842,1
50.0,64.0,53.0,53.0,117.0,117.0,0.5470085470085471,0.5470085470085471,24.5,83.0,54.0,63.0,23.0,83.0,0.08800000000000008,0.45599999999999996,0.0,0.0,0.1547435864693475,0.3094441878367975,4.068,4.016875,0.9987170140625,0.9987170140625,0.7082074922157073,0.8590613645373134,envelope,absolute,60001,118,118,2,1,-11.0,-54.0,-9.5,0.05600000000000005,0.0,-0.1547435864693475,23
51.0,146.0,0.0,0.0,146.0,146.0,1.0,1.0,16.0,70.0,9.0,33.0,16.0,70.0,0.08800000000000008,0.32799999999999985,0.0,0.05133999999999994,0.05597678432900227,0.19930981522388347,3.258206896551724,3.2579862068965517,0.8752717123287671,0.8757240410958903,0.9370325668472801,0.9195664988732155,envelope,absolute,60001,146,146,2,0,-8.0,5.0,-8.0,0.008000000000000007,0.0,0.014924857465207442,0
52.0,146.0,2.0,0.0,148.0,146.0,0.9864864864864865,1.0,41.0,68.0,14.0,56.0,41.0,82.0,0.03200000000000003,1.5919999999999999,0.0,0.10261100000000001,0.10132288869263556,0.3037383177570093,3.23288275862069,3.2527448275862065,0.6653774565753425,0.670220512739726,0.8665521250512113,0.8146265578869984,envelope,absolute,60001,149,147,2,1,13.5,13.0,14.5,-0.008000000000000007,0.0,0.05221017392860139,2
53.0,153.0,2.0,0.0,155.0,153.0,0.9870967741935484,1.0,17.0,58.0,10.0,47.0,17.0,49.0,0.09599999999999986,0.48,0.0014660000000000784,0.10603400000000007,0.06333732430730121,0.2554294303633442,3.0969473684210524,3.097473684210526,0.7541156039215686,0.7617725623529411,0.9106390763049567,0.8820631988654783,envelope,absolute,60001,155,155,2,0,-16.0,3.0,-16.0,0.008000000000000007,0.0,0.023608069164265166,0
