subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
35,llm_selected_baseline,ann1,159,142,139,20,3,0.8742138364779874,0.9788732394366197,10.0,40.0
35,llm_selected_baseline,ann2,159,140,140,19,0,0.8805031446540881,1.0,5.0,50.0
36,featuregraph,ann1,222,148,129,93,19,0.581081081081081,0.8716216216216216,26.0,63.0
36,featuregraph,ann2,222,147,106,116,41,0.4774774774774775,0.7210884353741497,8.0,63.0
36,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,13.0,48.0
36,llm_selected_baseline,ann2,147,147,147,0,0,1.0,1.0,24.0,59.0
37,featuregraph,ann1,182,149,145,37,4,0.7967032967032966,0.9731543624161074,14.0,55.0
37,featuregraph,ann2,182,149,145,37,4,0.7967032967032966,0.9731543624161074,9.0,63.0
37,llm_selected_baseline,ann1,153,149,143,10,6,0.934640522875817,0.959731543624161,12.0,46.0
37,llm_selected_baseline,ann2,153,149,146,7,3,0.954248366013072,0.9798657718120806,8.0,60.0
38,featuregraph,ann1,174,122,95,79,27,0.5459770114942529,0.7786885245901639,32.0,60.0
38,featuregraph,ann2,174,128,112,62,16,0.6436781609195402,0.875,36.0,63.0
38,llm_selected_baseline,ann1,135,122,113,22,9,0.837037037037037,0.9262295081967213,11.0,56.0
38,llm_selected_baseline,ann2,135,128,123,12,5,0.9111111111111111,0.9609375,13.0,62.0
39,featuregraph,ann1,116,114,87,29,27,0.75,0.7631578947368421,45.0,63.0
39,featuregraph,ann2,116,114,96,20,18,0.8275862068965517,0.8421052631578947,51.0,63.0
39,llm_selected_baseline,ann1,180,114,112,68,2,0.6222222222222222,0.9824561403508771,13.5,51.0
39,llm_selected_baseline,ann2,180,114,114,66,0,0.6333333333333333,1.0,12.5,52.0
40,featuregraph,ann1,167,126,120,47,6,0.718562874251497,0.9523809523809523,17.5,61.0
40,featuregraph,ann2,167,132,128,39,4,0.7664670658682635,0.9696969696969697,17.0,61.0
40,llm_selected_baseline,ann1,144,126,120,24,6,0.8333333333333334,0.9523809523809523,10.0,55.0
40,llm_selected_baseline,ann2,144,132,128,16,4,0.8888888888888888,0.9696969696969697,7.0,54.0
41,featuregraph,ann1,128,109,109,19,0,0.8515625,1.0,11.0,38.0
41,featuregraph,ann2,128,109,108,20,1,0.84375,0.9908256880733946,9.0,47.0
41,llm_selected_baseline,ann1,113,109,109,4,0,0.9646017699115044,1.0,11.0,38.0
41,llm_selected_baseline,ann2,113,109,109,4,0,0.9646017699115044,1.0,11.0,39.0
