subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
21.0,143.0,145.0,1.0,288.0,144.0,0.4965277777777778,0.9930555555555556,153.0,312.0,6.0,53.0,58.0,572.0,1.7519999999999998,5.824,0.00195500000000004,0.47117,0.3488211456990238,0.6896014640889356,1.7524475524475525,3.2408951048951047,0.9136162293706293,0.9490324797202797,0.4761797627596015,0.7948285602969277,60001.0,289.0,150.0,2.0,0.0,153.0,-4.0,50.0,-1.7519999999999998,0.0,-0.3488211456990238,138.0
22.0,149.0,24.0,0.0,173.0,149.0,0.861271676300578,1.0,172.0,207.0,8.0,19.0,168.0,207.0,0.06400000000000006,2.536,0.0,0.43011,0.3714114832535885,0.7001937358734259,2.9088322147651007,3.1871140939597313,0.9843859550335571,0.9903166809395971,0.41423357203909095,0.795785934169239,60001.0,174.0,151.0,2.0,1.0,172.0,-8.0,168.0,-0.016000000000000014,0.0,-0.3714114832535885,23.0
23.0,140.0,103.0,0.0,243.0,140.0,0.5761316872427984,1.0,137.5,250.0,11.5,47.0,74.0,219.0,1.804,4.224,0.01857650000000005,0.35678999999999994,0.44992848791080303,0.8907292815613842,1.9316000000000002,3.2576,0.7443722028571428,0.764097167142857,0.3903040681568134,0.8304107644318324,60001.0,244.0,149.0,2.0,0.0,137.5,8.5,70.5,-1.804,0.0,-0.44992848791080303,97.0
24.0,178.0,2.0,0.0,180.0,178.0,0.9888888888888889,1.0,64.0,191.0,11.0,18.0,64.5,191.0,0.03200000000000003,0.23999999999999977,0.006849999999999912,0.08406599999999997,0.32046134574395946,0.6375334213287306,2.6666516853932585,2.6664719101123597,0.8916336094382025,0.892792086966292,0.5274451864542657,0.8546952161180198,60001.0,180.0,180.0,2.0,1.0,64.0,11.0,64.5,0.0,0.0,-0.32046134574395946,0.0
25.0,127.0,9.0,0.0,136.0,127.0,0.9338235294117647,1.0,59.0,215.0,5.0,14.0,58.0,196.0,0.02400000000000002,3.7199999999999998,0.0,0.42787,0.23379770416592838,0.5431020780129068,3.5655433070866147,3.7412913385826774,1.694776062992126,1.7154526771653544,0.40002367993803695,0.6581715698030375,60001.0,137.0,128.0,2.0,0.0,59.0,5.0,58.0,0.0,0.0,-0.23379770416592838,8.0
26.0,107.0,51.0,29.0,158.0,136.0,0.6772151898734177,0.7867647058823529,44.0,198.0,8.0,62.0,41.0,675.0,0.08800000000000008,6.68,0.0,0.3577699999999999,0.21424271093145253,0.7050816696914701,3.2447102803738317,3.371094339622642,0.8562684614953272,0.8692776990654205,0.4136184442187655,0.6643250892150069,60001.0,159.0,143.0,2.0,1.0,44.0,-7.0,41.0,0.0,0.0,-0.21294556301267709,32.0
27.0,7.0,31.0,79.0,38.0,86.0,0.18421052631578946,0.08139534883720931,79.0,574.0,29.0,54.0,109.0,895.0,1.584,70.408,0.03689999999999999,0.47766600000000015,0.2880491308008518,0.7263126000952257,12.862857142857143,3.8537142857142856,1.2976424285714288,1.4466020000000002,0.4826601650432672,0.6782565131801144,60001.0,39.0,90.0,2.0,1.0,79.0,-4.0,34.0,-0.3919999999999999,-0.03689999999999999,-0.17742938907552575,28.0
28.0,136.0,22.0,6.0,158.0,142.0,0.8607594936708861,0.9577464788732394,97.0,224.0,29.0,63.0,93.0,207.0,0.08000000000000007,2.992,0.0,0.17400000000000004,0.4169397827608455,0.6397674418604651,3.1176470588235294,3.2879411764705884,0.9925894852941177,0.9949973529411764,0.47743439762200085,0.8653819161742701,60001.0,158.0,146.0,2.0,1.0,97.0,-29.0,93.0,-0.008000000000000007,0.0,-0.4169397827608455,12.0
29.0,55.0,39.0,93.0,94.0,148.0,0.5851063829787234,0.3716216216216216,128.0,270.0,34.0,61.0,138.0,2844.0,0.5680000000000001,15.983999999999998,0.007819999999999994,0.16813,0.7348943636348936,0.964205760070023,4.536581818181818,2.997090909090909,0.40952619999999995,0.4025058727272727,0.13673787859801037,0.8458111790969767,60001.0,95.0,150.0,2.0,1.0,128.0,-34.0,138.0,0.24799999999999978,0.0,-0.7348943636348936,19.0
30.0,145.0,35.0,1.0,180.0,146.0,0.8055555555555556,0.9931506849315068,108.0,320.0,15.0,33.0,72.0,330.0,0.05600000000000005,3.248,0.007727999999999957,0.29211560000000003,0.2942105263157895,0.6003720319509793,2.7836689655172413,3.1888551724137932,1.279418976551724,1.2959409048275865,0.5392475525076853,0.8422403436713621,60001.0,180.0,151.0,2.0,0.0,108.0,14.0,72.0,-0.02400000000000002,0.0,-0.2942105263157895,32.0
