subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
32,featuregraph,ann1,336,197,197,139,0,0.5863095238095238,1.0,11.0,35.0
32,featuregraph,ann2,336,197,197,139,0,0.5863095238095238,1.0,14.0,32.0
32,llm_selected_baseline,ann1,197,197,197,0,0,1.0,1.0,8.0,38.0
32,llm_selected_baseline,ann2,197,197,197,0,0,1.0,1.0,8.0,33.0
33,featuregraph,ann1,236,107,103,133,4,0.4364406779661017,0.9626168224299065,16.0,59.0
33,featuregraph,ann2,236,106,100,136,6,0.423728813559322,0.9433962264150944,8.0,52.0
33,llm_selected_baseline,ann1,114,107,101,13,6,0.8859649122807017,0.9439252336448598,16.0,63.0
33,llm_selected_baseline,ann2,114,106,102,12,4,0.8947368421052632,0.9622641509433962,6.0,43.0
34,featuregraph,ann1,158,136,136,22,0,0.8607594936708861,1.0,15.0,45.0
34,featuregraph,ann2,158,141,141,17,0,0.8924050632911392,1.0,13.0,25.0
34,llm_selected_baseline,ann1,142,136,135,7,1,0.9507042253521126,0.9926470588235294,9.0,44.0
34,llm_selected_baseline,ann2,142,141,140,2,1,0.9859154929577465,0.9929078014184397,9.0,41.0
36,featuregraph,ann1,329,148,146,183,2,0.44376899696048633,0.9864864864864865,18.5,63.0
36,featuregraph,ann2,329,147,133,196,14,0.40425531914893614,0.9047619047619048,11.0,61.0
36,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,13.0,48.0
36,llm_selected_baseline,ann2,147,147,147,0,0,1.0,1.0,24.0,59.0
37,featuregraph,ann1,184,149,145,39,4,0.7880434782608695,0.9731543624161074,13.0,56.0
37,featuregraph,ann2,184,149,146,38,3,0.7934782608695652,0.9798657718120806,10.0,62.0
37,llm_selected_baseline,ann1,153,149,143,10,6,0.934640522875817,0.959731543624161,12.0,46.0
37,llm_selected_baseline,ann2,153,149,146,7,3,0.954248366013072,0.9798657718120806,8.0,60.0
38,featuregraph,ann1,199,122,99,100,23,0.49748743718592964,0.8114754098360656,30.0,63.0
38,featuregraph,ann2,199,128,116,83,12,0.5829145728643216,0.90625,32.0,63.0
38,llm_selected_baseline,ann1,135,122,113,22,9,0.837037037037037,0.9262295081967213,11.0,56.0
38,llm_selected_baseline,ann2,135,128,123,12,5,0.9111111111111111,0.9609375,13.0,62.0
40,featuregraph,ann1,178,126,121,57,5,0.6797752808988764,0.9603174603174603,17.0,58.0
40,featuregraph,ann2,178,132,129,49,3,0.7247191011235955,0.9772727272727273,16.0,59.0
40,llm_selected_baseline,ann1,144,126,120,24,6,0.8333333333333334,0.9523809523809523,10.0,55.0
40,llm_selected_baseline,ann2,144,132,128,16,4,0.8888888888888888,0.9696969696969697,7.0,54.0
41,featuregraph,ann1,126,109,109,17,0,0.8650793650793651,1.0,12.0,55.0
41,featuregraph,ann2,126,109,108,18,1,0.8571428571428571,0.9908256880733946,8.0,56.0
41,llm_selected_baseline,ann1,113,109,109,4,0,0.9646017699115044,1.0,11.0,38.0
41,llm_selected_baseline,ann2,113,109,109,4,0,0.9646017699115044,1.0,11.0,39.0
42,featuregraph,ann1,147,138,138,9,0,0.9387755102040817,1.0,7.0,36.0
42,featuregraph,ann2,147,138,138,9,0,0.9387755102040817,1.0,7.0,29.0
42,llm_selected_baseline,ann1,138,138,138,0,0,1.0,1.0,6.0,28.0
42,llm_selected_baseline,ann2,138,138,138,0,0,1.0,1.0,7.0,24.0
43,featuregraph,ann1,175,140,140,35,0,0.8,1.0,12.0,49.0
43,featuregraph,ann2,175,140,138,37,2,0.7885714285714286,0.9857142857142858,12.0,59.0
43,llm_selected_baseline,ann1,140,140,139,1,1,0.9928571428571429,0.9928571428571429,8.0,39.0
43,llm_selected_baseline,ann2,140,140,139,1,1,0.9928571428571429,0.9928571428571429,11.0,46.0
44,featuregraph,ann1,336,132,2,334,130,0.005952380952380952,0.015151515151515152,60.5,62.0
44,featuregraph,ann2,336,132,122,214,10,0.3630952380952381,0.9242424242424242,12.0,60.0
44,llm_selected_baseline,ann1,133,132,0,133,132,0.0,0.0,,
44,llm_selected_baseline,ann2,133,132,130,3,2,0.9774436090225563,0.9848484848484849,18.5,63.0
45,featuregraph,ann1,238,128,128,110,0,0.5378151260504201,1.0,16.0,48.0
45,featuregraph,ann2,238,128,125,113,3,0.5252100840336135,0.9765625,8.0,62.0
