subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
21.0,144.0,280.0,0.0,424.0,144.0,0.33962264150943394,1.0,127.0,310.0,5.0,48.0,36.0,242.0,2.2319999999999998,3.96,0.0019525000000000237,0.4643200000000001,0.24699302699731795,0.6467705361714579,1.2175555555555555,3.2293888888888893,0.9181806458333333,0.9486532958333334,0.5823505182560612,0.7949341664219067,mad,60001,425,150,2,0,127.0,-1.0,30.0,-2.2319999999999998,0.0,-0.23999733876710322,272
22.0,149.0,132.0,0.0,281.0,149.0,0.5302491103202847,1.0,164.0,193.0,5.0,15.0,72.0,179.0,1.984,2.5919999999999996,2.220446049250313e-16,0.43011000000000005,0.2528197235667179,0.6020342266709718,1.6089127516778523,3.1871140939597313,0.9843400355704698,0.9903166809395971,0.5361262224516677,0.795785934169239,mad,60001,282,151,2,1,164.0,-4.0,72.0,-1.984,0.0,-0.2528197235667179,131
23.0,140.0,194.0,0.0,334.0,140.0,0.41916167664670656,1.0,135.5,273.0,13.5,34.0,52.0,219.0,2.1959999999999997,4.224,0.021994999999999987,0.3695,0.289073368774474,0.7576435495898584,1.1861714285714287,3.2576,0.7347227457142858,0.764097167142857,0.5596180133789135,0.8304107644318324,mad,60001,335,149,2,0,135.5,12.0,33.5,-2.1959999999999997,0.0,-0.2820957558105917,189
24.0,178.0,2.0,0.0,180.0,178.0,0.9888888888888889,1.0,64.0,191.0,11.0,18.0,64.5,191.0,0.03200000000000003,0.23999999999999977,0.006849999999999967,0.08406599999999997,0.32046134574395946,0.6375334213287306,2.6666516853932585,2.6664719101123597,0.8916336094382025,0.892792086966292,0.5274451864542657,0.8546952161180198,mad,60001,180,180,2,1,64.0,11.0,64.5,0.0,0.0,-0.32046134574395946,0
25.0,127.0,11.0,0.0,138.0,127.0,0.9202898550724637,1.0,58.0,215.0,5.0,14.0,56.0,189.0,0.02400000000000002,3.7199999999999998,4.440892098500626e-16,0.42787,0.2282825755111234,0.5377401477180006,3.5223307086614173,3.7412913385826774,1.694776062992126,1.7154526771653544,0.4052600652825328,0.6581715698030375,mad,60001,139,128,2,0,58.0,5.0,56.0,0.0,0.0,-0.2282825755111234,10
26.0,124.0,46.0,12.0,170.0,136.0,0.7294117647058823,0.9117647058823529,33.0,536.0,6.0,61.0,31.0,536.0,0.08800000000000008,4.016,1.1102230246251565e-16,0.3919800000000001,0.14644805712930187,0.6363187762151492,3.001821138211383,3.4018861788617887,0.8294233417741935,0.8525526104838711,0.5460052577513749,0.6751914469659731,mad,60001,171,143,2,1,33.0,-2.5,29.0,-0.02400000000000002,-1.1102230246251565e-16,-0.1220211277684714,31
27.0,86.0,475.0,0.0,561.0,86.0,0.1532976827094474,1.0,425.0,598.0,13.5,50.0,108.5,459.0,4.952,7.192,0.12911999999999998,0.4776659999999999,0.35419510843284957,0.879241099289999,0.6730232558139534,5.447255813953489,0.2508694534883721,0.3869718255813953,0.3883345919914447,0.6902341575227009,mad,60001,562,90,2,1,425.0,-1.0,-108.5,-4.952,-0.12911999999999998,-0.3508662899727772,397
28.0,139.0,22.0,3.0,161.0,142.0,0.8633540372670807,0.9788732394366197,89.0,217.0,23.0,60.0,83.0,200.0,0.09599999999999964,2.952,0.0,0.17301999999999995,0.34863807485052045,0.7214838615452023,3.0652086330935253,3.29294964028777,0.9933472014388488,0.9951053237410071,0.5548520567418118,0.8645144974635627,mad,60001,161,146,2,1,89.0,-23.0,82.0,-0.016000000000000014,0.0,-0.34863807485052045,15
29.0,131.0,102.0,17.0,233.0,148.0,0.5622317596566524,0.8851351351351351,44.0,460.0,20.0,62.0,27.0,221.0,0.544,4.784,5.551115123125783e-17,0.2678400000000001,0.18000956044706484,0.7884255930984903,2.121587786259542,3.1516335877862596,0.3542340152671755,0.3735529847328244,0.6513536479049976,0.8277331854496911,mad,60001,234,150,2,1,44.0,-16.0,25.0,-0.3039999999999998,-5.551115123125783e-17,-0.16303072953319264,78
30.0,145.0,26.0,1.0,171.0,146.0,0.847953216374269,0.9931506849315068,109.0,321.0,14.0,35.0,74.0,332.0,0.05600000000000005,3.24,0.007727999999999957,0.29211560000000003,0.31466813348001466,0.608064339643287,2.906703448275862,3.1888551724137932,1.2791631834482757,1.2959409048275865,0.5187614128656572,0.8422403436713621,mad,60001,171,151,2,0,109.0,13.0,74.0,-0.008000000000000007,-2.220446049250313e-16,-0.31466813348001466,23
