subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,featuregraph_ambiguous_objects,featuregraph_invalidated_complete_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
41.0,111.0,12.0,0.0,123.0,111.0,0.9024390243902439,1.0,29.0,264.0,8.0,41.0,31.0,100.0,0.08000000000000007,3.64,0.0,0.08801999999999999,0.06799450549450547,0.27404548776032156,4.1929369369369365,4.249441441441441,1.4306504054054052,1.4319937387387387,0.9171062139660571,0.8558457728184357,envelope_plateau,absolute,60001,126,113,4,3,2,1,-17.0,8.0,-17.0,-0.008000000000000007,0.0,0.05770857672320018,11
42.0,137.0,1.0,0.0,138.0,137.0,0.9927536231884058,1.0,49.0,66.0,3.0,13.0,49.0,66.0,0.02400000000000002,0.1120000000000001,0.0,0.0,0.14903846153846145,0.26164079822616415,3.4721167883211677,3.4724087591240878,1.0004886400000002,1.0004886400000002,0.950009180496059,0.8221669081707408,envelope_plateau,absolute,60001,138,138,2,1,0,0,45.0,2.0,45.0,0.0,0.0,0.14903846153846145,0
43.0,139.0,3.0,0.0,142.0,139.0,0.9788732394366197,1.0,15.0,91.0,8.0,37.0,15.0,134.0,0.06400000000000006,1.8319999999999999,0.0009770000000000056,0.11926000000000003,0.04656664066602434,0.21136115792604337,3.4002302158273388,3.42146762589928,0.9218406050359713,0.9232049575539566,0.8844049982730237,0.8518523068273433,envelope_plateau,absolute,60001,142,140,2,1,0,0,14.0,7.0,14.0,-0.008000000000000007,0.0,0.027527697374987503,2
44.0,130.0,6.0,2.0,136.0,132.0,0.9558823529411765,0.9848484848484849,37.0,321.0,18.0,57.0,37.0,126.0,0.2160000000000002,2.6639999999999997,0.0,0.17688800000000005,0.1481919199578451,0.3721167256732111,3.548676923076923,3.595446153846154,0.7676105233846153,0.7849008058461538,0.7981199074375743,0.6728850366794122,envelope_plateau,absolute,60001,136,133,2,1,0,0,37.0,2.0,37.0,-0.02400000000000002,0.0,0.1358285867862401,1
45.0,127.0,2.0,0.0,129.0,127.0,0.9844961240310077,1.0,21.0,254.0,16.0,56.0,20.0,49.0,0.16399999999999992,2.9040000000000004,0.0,0.026339999999999975,0.051086364761197656,0.8681818181818182,3.687619047619048,3.7391111111111117,0.32887163897637806,0.330080512992126,0.8785252179218,0.9231429052831488,envelope_plateau,absolute,60001,130,128,2,1,0,1,-12.0,2.0,-14.0,-0.03600000000000003,0.0,-0.03948872797631264,1
46.0,112.0,43.0,11.0,155.0,123.0,0.7225806451612903,0.9105691056910569,16.0,402.0,13.5,56.0,16.0,408.0,0.2320000000000002,4.816000000000001,0.0,0.3752786399999999,0.08058287593956259,0.6368207977052812,3.311927927927928,3.709261261261261,0.8271812667857142,0.8337821578571428,0.7995797791161061,0.7656385079548134,envelope_plateau,absolute,60001,156,134,2,1,0,1,2.0,0.0,2.0,-0.05599999999999983,0.0,0.02121855027286179,30
47.0,172.0,5.0,0.0,177.0,172.0,0.9717514124293786,1.0,11.0,50.0,5.0,45.0,11.0,50.0,0.03999999999999959,0.3760000000000001,0.0,0.26634,0.02772730762316955,0.26479919846372213,2.713860465116279,2.7142325581395355,1.1642157441860466,1.1654655232558142,0.9501852892517904,0.9302672457602371,envelope_plateau,absolute,60001,178,178,2,1,0,1,-11.0,3.0,-11.0,0.023999999999999577,0.0,0.022676240329642827,1
48.0,137.0,9.0,4.0,146.0,141.0,0.9383561643835616,0.9716312056737588,12.0,358.0,5.0,47.0,12.0,275.0,0.040000000000000036,3.192,0.0,0.56243,0.07418146847542584,0.5590193516271545,3.314452554744526,3.362802919708029,0.9000625208759124,0.9065575232116788,0.9066402234347559,0.8828239910708093,envelope_plateau,absolute,60001,146,144,2,1,0,0,7.0,1.0,6.0,0.0,0.0,0.030229419703103888,6
49.0,135.0,3.0,0.0,138.0,135.0,0.9782608695652174,1.0,16.0,110.0,8.0,61.0,16.0,98.0,0.09200000000000008,2.8,0.0,0.13587,0.05312334789504436,0.26424531787307814,3.4516417910447754,3.4934328358208955,0.5943450814814815,0.6011080148148148,0.904262278431513,0.8749562145087745,envelope_plateau,absolute,60001,139,137,3,2,1,0,-15.0,-3.0,-15.0,-0.008000000000000007,0.0,0.019918808539776456,1
50.0,117.0,0.0,0.0,117.0,117.0,1.0,1.0,20.0,84.0,4.0,42.0,20.0,84.0,0.04400000000000004,0.3199999999999994,0.0,0.017594999999999916,0.05567451820128477,0.2990443466122624,4.04648275862069,4.046206896551724,0.998496135897436,0.9986715846153846,0.9503583638751152,0.8872225676752132,envelope_plateau,absolute,60001,118,118,2,1,0,1,-10.0,2.0,-11.0,0.0,0.0,0.049089852149125535,0
