condition,model,subject_id,fold,rows,mae,rmse,r2
physiology_plus_protocol,train_mean,S09,4,8,1.5683497536945814,1.8671201720569925,-1.065859399645709
physiology_plus_protocol,train_mean,S10,2,8,0.7455128205128205,0.9866098922841418,-1.2249121818352586
physiology_plus_protocol,train_mean,S11,5,8,2.403940886699507,2.7438899006238593,-3.302246735283207
physiology_plus_protocol,train_mean,S12,4,8,2.4661330049261085,2.7506702815833597,-4.097220714432592
physiology_plus_protocol,train_mean,S13,3,8,0.5325255102040816,0.8795250992722697,-0.12518458218166684
physiology_plus_protocol,train_mean,S14,2,8,1.9820512820512821,2.1629903570476525,-5.238036379574841
physiology_plus_protocol,train_mean,S15,1,8,0.9333333333333331,1.1185307823708341,-1.5022222222222208
physiology_plus_protocol,train_mean,S16,2,8,1.3884615384615384,1.5542544102754279,-1.1775384985785848
physiology_plus_protocol,train_mean,S17,3,8,2.8316326530612246,2.8508802994658597,-73.30874040578331
physiology_plus_protocol,train_mean,S18,4,8,1.0,1.1904504272168386,-0.13373777572860268
physiology_plus_protocol,train_mean,f01,3,7,1.267128279883382,1.4345742140998143,-0.8007527787900874
physiology_plus_protocol,train_mean,f02,2,7,1.5842490842490842,1.7454157105485926,-1.2617776383161
physiology_plus_protocol,train_mean,f03,1,7,2.123809523809524,2.4159522753617044,-1.554001553993878e-05
physiology_plus_protocol,train_mean,f04,4,7,0.9869809992962703,1.403173673353298,-0.7227843128928146
physiology_plus_protocol,train_mean,f05,4,7,0.9349049964813511,1.0543972213776602,-2.8911372515712572
physiology_plus_protocol,train_mean,f06,1,7,1.7047619047619054,2.0020624286604973,-2.637119341563787
physiology_plus_protocol,train_mean,f08,5,7,2.8103448275862073,2.945088836354887,-10.184312222291759
physiology_plus_protocol,train_mean,f09,3,7,0.8757288629737608,1.081443114891173,-0.10204694858712693
physiology_plus_protocol,train_mean,f10,1,7,1.3333333333333333,1.7508274687692174,-1.2088888888888882
physiology_plus_protocol,train_mean,f11,4,7,1.9482758620689657,2.5474803994812167,-1.4090391128886974
physiology_plus_protocol,train_mean,f12,5,7,1.5577058409570725,1.8849961442224887,-0.000616739787062226
physiology_plus_protocol,train_mean,f13,2,7,1.7219780219780219,2.5051507004437634,-0.011556649884078896
physiology_plus_protocol,train_mean,f15,2,7,0.8648351648351648,1.3055081234926524,-0.04391526955950065
physiology_plus_protocol,train_mean,f16,5,7,1.8434201266713581,2.258942985637614,-0.1906587962176547
physiology_plus_protocol,train_mean,f17,3,7,2.4719387755102042,2.577031927386397,-11.515907083987445
physiology_plus_protocol,train_mean,f18,3,7,1.267128279883382,1.5470229939112503,-0.06609751855287538
physiology_plus_protocol,nori_6m,S01,1,8,1.6282559229239788,1.8457940923106742,-0.7727249853445128
physiology_plus_protocol,nori_6m,S03,5,8,0.7135249297762482,0.8494925636668036,-5.597829629487528
physiology_plus_protocol,nori_6m,S04,1,8,2.080527007681092,2.214155024848606,-4.704706878908895
physiology_plus_protocol,nori_6m,S05,5,8,1.1771001264749232,1.3222966453250833,-0.7484684182379688
physiology_plus_protocol,nori_6m,S06,2,8,1.6028678735728144,1.7512947337015967,-1.5827648372976397
physiology_plus_protocol,nori_6m,S07,3,8,4.024444213490286,4.216803805744993,-8.177514496075075
physiology_plus_protocol,nori_6m,S08,1,8,3.0084666711681805,3.2045716846172123,-2.965212064183563
physiology_plus_protocol,nori_6m,S09,4,8,1.342241579488106,1.6667162423264013,-0.6461884636649713
physiology_plus_protocol,nori_6m,S10,2,8,1.478785752244733,1.590580929836925,-4.78273758711062
physiology_plus_protocol,nori_6m,S11,5,8,3.0434309289954555,3.1641671674922045,-4.721116493620365
physiology_plus_protocol,nori_6m,S12,4,8,4.784676833451215,4.878455304579053,-15.033230254332974
physiology_plus_protocol,nori_6m,S13,3,8,0.5686814689612595,0.7210368467084314,0.24379035009274475
physiology_plus_protocol,nori_6m,S14,2,8,1.7181592325250103,1.7936287722074549,-3.289472229987229
physiology_plus_protocol,nori_6m,S15,1,8,1.412918576696126,1.7832947936695094,-5.360280642257557
physiology_plus_protocol,nori_6m,S16,2,8,1.20494983121096,1.5021707233506434,-1.0340433866742944
