noise_std,replicate,method,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.3,1,SciPy baseline,16,12,12,0.75,1.0,0.8571428571428571,9.583333333333334,3.3333333333333335,17.166666666666668,21.916666666666668,0.24151616478197213,0.452005001878433
0.3,2,FeatureGraph,25,12,12,0.48,1.0,0.6486486486486487,7.5,4.416666666666667,20.416666666666668,23.916666666666668,0.0752731026920663,0.4684527674554017
0.3,2,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,20.75,4.333333333333333,12.166666666666666,30.416666666666668,0.19488206238147868,0.5389783950600141
0.3,3,FeatureGraph,23,12,12,0.5217391304347826,1.0,0.6857142857142856,7.666666666666667,3.25,15.833333333333334,18.666666666666668,0.07012025379587791,0.3357732915824038
0.3,3,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,12.833333333333334,3.1666666666666665,18.5,29.833333333333332,0.17180502533551567,0.5589199108748922
0.3,4,FeatureGraph,23,12,12,0.5217391304347826,1.0,0.6857142857142856,8.75,5.166666666666667,14.75,18.0,0.045337160337923794,0.3437764612943759
0.3,4,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,11.833333333333334,4.583333333333333,20.666666666666668,29.833333333333332,0.16236203244356553,0.5500458186092986
0.3,5,FeatureGraph,21,12,12,0.5714285714285714,1.0,0.7272727272727273,8.083333333333334,4.666666666666667,16.5,21.416666666666668,0.09204284998380795,0.39795357364110995
0.3,5,SciPy baseline,16,12,12,0.75,1.0,0.8571428571428571,10.166666666666666,5.583333333333333,24.083333333333332,32.75,0.15380025156072494,0.5811143400627973
0.3,6,FeatureGraph,29,12,12,0.41379310344827586,1.0,0.5853658536585366,7.833333333333333,4.833333333333333,20.5,25.166666666666668,0.0520577236859788,0.4612486771129321
0.3,6,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,18.416666666666668,4.583333333333333,15.0,29.583333333333332,0.1805030574902636,0.5659137916004565
0.3,7,FeatureGraph,19,12,12,0.631578947368421,1.0,0.7741935483870968,8.416666666666666,4.916666666666667,15.666666666666666,16.916666666666668,0.09846635633271028,0.30933593495431755
0.3,7,SciPy baseline,16,12,12,0.75,1.0,0.8571428571428571,6.166666666666667,5.666666666666667,18.583333333333332,23.916666666666668,0.25556182484195733,0.45350260954535665
0.3,8,FeatureGraph,29,12,12,0.41379310344827586,1.0,0.5853658536585366,11.333333333333334,4.083333333333333,16.0,24.666666666666668,0.12764405808897555,0.3130034369222214
0.3,8,SciPy baseline,20,12,12,0.6,1.0,0.7499999999999999,18.416666666666668,5.166666666666667,20.166666666666668,35.416666666666664,0.10248443562497839,0.6307507589133398
0.3,9,FeatureGraph,17,12,12,0.7058823529411765,1.0,0.8275862068965517,6.416666666666667,5.5,11.916666666666666,12.333333333333334,0.06467884437855669,0.2771441683887305
0.3,9,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,21.416666666666668,4.75,16.833333333333332,36.25,0.0935449885208438,0.6981604487995267
0.4,0,FeatureGraph,32,12,12,0.375,1.0,0.5454545454545454,9.75,4.666666666666667,14.333333333333334,19.583333333333332,0.09153236204516024,0.3182279149573484
0.4,0,SciPy baseline,20,12,12,0.6,1.0,0.7499999999999999,21.916666666666668,4.333333333333333,13.583333333333334,31.166666666666668,0.2900252285134186,0.5049202362120772
0.4,1,FeatureGraph,36,12,12,0.3333333333333333,1.0,0.5,11.333333333333334,4.916666666666667,20.916666666666668,28.75,0.09146146763462946,0.4586261066828521
0.4,1,SciPy baseline,15,12,12,0.8,1.0,0.888888888888889,8.083333333333334,4.666666666666667,21.0,25.416666666666668,0.3813865656644171,0.5266288073987232
0.4,2,FeatureGraph,33,12,12,0.36363636363636365,1.0,0.5333333333333333,8.5,3.75,24.083333333333332,29.083333333333332,0.08748938930871432,0.5686303193108357
0.4,2,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,20.75,4.333333333333333,12.166666666666666,30.416666666666668,0.32154529594421905,0.5389783950600141
0.4,3,FeatureGraph,34,12,12,0.35294117647058826,1.0,0.5217391304347826,12.833333333333334,2.75,22.166666666666668,31.5,0.20424666103253708,0.43070108145025965
0.4,3,SciPy baseline,16,12,12,0.75,1.0,0.8571428571428571,12.833333333333334,4.0,21.166666666666668,32.166666666666664,0.28216772600478757,0.626814302674165
0.4,4,FeatureGraph,30,12,12,0.4,1.0,0.5714285714285715,9.333333333333334,3.6666666666666665,20.833333333333332,26.5,0.09458132586193833,0.48414044760989244
0.4,4,SciPy baseline,20,12,12,0.6,1.0,0.7499999999999999,8.833333333333334,5.333333333333333,21.583333333333332,27.75,0.33687020041190596,0.5257635830333197
0.4,5,FeatureGraph,27,12,12,0.4444444444444444,1.0,0.6153846153846153,10.0,4.083333333333333,21.75,27.583333333333332,0.10624764559847655,0.5285187787114919
0.4,5,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,15.25,6.166666666666667,22.0,35.083333333333336,0.20089807549783925,0.5456878327500527
0.4,6,FeatureGraph,36,12,12,0.3333333333333333,1.0,0.5,10.333333333333334,4.0,24.333333333333332,33.166666666666664,0.08576842788492818,0.5287945715415622
0.4,6,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,20.333333333333332,5.75,12.833333333333334,28.166666666666668,0.37122938893887314,0.570314829113963
0.4,7,FeatureGraph,32,12,12,0.375,1.0,0.5454545454545454,12.75,4.416666666666667,18.083333333333332,28.833333333333332,0.19803538822306962,0.3305273707152963
0.4,7,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,6.416666666666667,5.666666666666667,21.083333333333332,26.5,0.3829667745494762,0.4862154991844343
0.4,8,FeatureGraph,35,12,12,0.34285714285714286,1.0,0.5106382978723404,12.333333333333334,3.3333333333333335,22.833333333333332,34.0,0.1589679303057803,0.4669427288506205
0.4,8,SciPy baseline,21,12,12,0.5714285714285714,1.0,0.7272727272727273,18.5,6.0,16.0,32.5,0.2196117755730919,0.5069269333232099
0.4,9,FeatureGraph,25,12,12,0.48,1.0,0.6486486486486487,9.166666666666666,5.166666666666667,23.0,29.0,0.1364713085496664,0.5481253448792135
0.4,9,SciPy baseline,18,12,12,0.6666666666666666,1.0,0.8,22.0,6.083333333333333,16.75,37.083333333333336,0.23304820415599695,0.6952109388036161
