smooth_window,diff_lag,eps,replicate,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
5,3,0.0,3,55,12,12,0.21818181818181817,1.0,0.3582089552238806,23.166666666666668,1.5,30.75,53.916666666666664,0.4349350211063212,0.44728968275865694
5,3,0.0,4,44,12,12,0.2727272727272727,1.0,0.42857142857142855,17.5,2.5833333333333335,21.166666666666668,38.5,0.13397062512715718,0.5692326697849953
5,3,0.01,0,57,12,12,0.21052631578947367,1.0,0.34782608695652173,23.166666666666668,1.75,21.416666666666668,44.083333333333336,0.20439605123222823,0.58990171614147
5,3,0.01,1,57,12,12,0.21052631578947367,1.0,0.34782608695652173,20.583333333333332,1.4166666666666667,32.583333333333336,53.166666666666664,0.3536726465193833,0.5780102046027223
5,3,0.01,2,51,12,12,0.23529411764705882,1.0,0.38095238095238093,20.083333333333332,1.1666666666666667,28.25,48.166666666666664,0.3088795688542022,0.6196288787283236
5,3,0.01,3,50,12,12,0.24,1.0,0.3870967741935484,21.083333333333332,1.5833333333333333,27.666666666666668,48.083333333333336,0.29797946486868754,0.5246157930875032
5,3,0.01,4,43,12,12,0.27906976744186046,1.0,0.43636363636363634,17.583333333333332,2.6666666666666665,16.916666666666668,34.166666666666664,0.07079940083956719,0.5441162674246782
5,3,0.03,0,57,12,12,0.21052631578947367,1.0,0.34782608695652173,26.916666666666668,1.4166666666666667,24.75,51.5,0.3229639831838845,0.6666307493127388
5,3,0.03,1,54,12,12,0.2222222222222222,1.0,0.3636363636363636,23.583333333333332,1.25,28.0,50.083333333333336,0.3340914764336735,0.5810513173903268
5,3,0.03,2,49,12,12,0.24489795918367346,1.0,0.39344262295081966,26.666666666666668,1.3333333333333333,24.416666666666668,50.583333333333336,0.4864724742348098,0.3569457294895462
5,3,0.03,3,53,12,12,0.22641509433962265,1.0,0.36923076923076925,26.666666666666668,1.6666666666666667,20.666666666666668,45.333333333333336,0.33520794449798785,0.47743494739007075
5,3,0.03,4,45,12,12,0.26666666666666666,1.0,0.4210526315789474,20.083333333333332,2.25,20.416666666666668,40.333333333333336,0.17981114815861285,0.5453034759030642
5,5,0.0,0,38,12,12,0.3157894736842105,1.0,0.4799999999999999,10.833333333333334,3.1666666666666665,17.833333333333332,26.5,0.12360285669687103,0.3477110104457101
5,5,0.0,1,34,12,12,0.35294117647058826,1.0,0.5217391304347826,5.833333333333333,3.0,23.916666666666668,28.25,0.04182097506554603,0.5842717860518425
5,5,0.0,2,38,12,12,0.3157894736842105,1.0,0.4799999999999999,7.083333333333333,3.0,27.166666666666668,33.25,0.06315271562401631,0.6563814962902399
5,5,0.0,3,39,12,12,0.3076923076923077,1.0,0.47058823529411764,15.5,1.6666666666666667,25.083333333333332,39.416666666666664,0.26177816693559525,0.5252353513253428
5,5,0.0,4,35,12,12,0.34285714285714286,1.0,0.5106382978723404,8.666666666666666,3.0,18.333333333333332,26.666666666666668,0.07338986616086068,0.3841995695059235
5,5,0.01,0,36,12,12,0.3333333333333333,1.0,0.5,11.0,3.0,16.5,24.833333333333332,0.05796362476342229,0.4105466689204671
5,5,0.01,1,30,12,12,0.4,1.0,0.5714285714285715,5.833333333333333,2.75,19.5,23.5,0.05310712870507006,0.45767606046603887
5,5,0.01,2,36,12,12,0.3333333333333333,1.0,0.5,9.583333333333334,2.75,26.833333333333332,35.75,0.05263777988634862,0.6961289405149201
5,5,0.01,3,37,12,12,0.32432432432432434,1.0,0.489795918367347,18.916666666666668,1.6666666666666667,22.583333333333332,39.0,0.3408747952804405,0.4103181487612145
5,5,0.01,4,35,12,12,0.34285714285714286,1.0,0.5106382978723404,9.083333333333334,3.0,16.083333333333332,24.833333333333332,0.07617636438353319,0.3517845388716372
5,5,0.03,0,36,12,12,0.3333333333333333,1.0,0.5,16.25,2.75,18.083333333333332,29.333333333333332,0.20887468065122172,0.4273694563667744
5,5,0.03,1,35,12,12,0.34285714285714286,1.0,0.5106382978723404,10.0,2.4166666666666665,22.833333333333332,29.833333333333332,0.08950099526323851,0.5645601183459
5,5,0.03,2,37,12,12,0.32432432432432434,1.0,0.489795918367347,9.666666666666666,2.25,31.0,39.333333333333336,0.13686600627388318,0.6952567327757705
5,5,0.03,3,42,12,12,0.2857142857142857,1.0,0.4444444444444445,24.666666666666668,1.25,23.333333333333332,46.333333333333336,0.5011884720727983,0.22215332311780564
5,5,0.03,4,34,12,12,0.35294117647058826,1.0,0.5217391304347826,12.0,2.75,17.166666666666668,26.833333333333332,0.09447800182485837,0.4446201609051374
5,10,0.0,0,16,12,12,0.75,1.0,0.8571428571428571,8.333333333333334,6.333333333333333,9.666666666666666,5.333333333333333,0.06390909797122686,0.1341610658253974
