distance_fraction,prominence,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.3,0.4,1735,14,12,12,0.8571428571428571,1.0,0.923076923076923,0.7450206824892596,9.25,3.8333333333333335,11.5,19.083333333333332,0.14083714884257215,0.38511299023893525
0.3,0.4,1736,16,12,9,0.5625,0.75,0.6428571428571429,0.8287714543812104,4.777777777777778,3.7777777777777777,9.11111111111111,13.0,0.19906572892544622,0.2666747160647261
0.3,0.4,1737,14,12,12,0.8571428571428571,1.0,0.923076923076923,0.8355621568134044,7.0,2.6666666666666665,6.416666666666667,10.583333333333334,0.22267278304168422,0.182833591513778
0.3,0.4,1738,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.793369783920221,6.818181818181818,4.2727272727272725,9.818181818181818,15.727272727272727,0.198211066543978,0.27698346157059056
0.3,0.4,1739,15,12,11,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7808652235070432,11.181818181818182,4.2727272727272725,6.818181818181818,15.272727272727273,0.2429771541551209,0.34699524075129956
0.3,0.4,1740,16,12,11,0.6875,0.9166666666666666,0.7857142857142857,0.7264075480941663,10.727272727272727,2.909090909090909,11.909090909090908,18.454545454545453,0.162486128524532,0.3443410755425325
0.3,0.4,1741,13,12,12,0.9230769230769231,1.0,0.9600000000000001,0.793563790724029,14.666666666666666,2.75,2.0833333333333335,14.916666666666666,0.15851803234640469,0.3338789874515531
0.3,0.4,1742,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8838721074941822,2.272727272727273,3.0,7.2727272727272725,8.090909090909092,0.27747154908272537,0.1628520925971379
0.3,0.4,1743,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8365005435091988,9.909090909090908,2.8181818181818183,3.6363636363636362,10.090909090909092,0.2606078305780646,0.24544993142881324
0.3,0.4,1744,14,12,11,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8068796320727614,7.181818181818182,1.8181818181818181,8.636363636363637,13.272727272727273,0.21255424432689624,0.26714105611988403
0.3,0.4,1745,15,12,12,0.8,1.0,0.888888888888889,0.8042981149537048,9.833333333333334,2.4166666666666665,6.166666666666667,14.0,0.2261830935261092,0.24935900001026048
0.3,0.4,1746,13,12,10,0.7692307692307693,0.8333333333333334,0.8,0.7993243469396606,9.3,3.1,7.1,13.6,0.16843325065726306,0.2054729982904088
0.3,0.4,1747,14,12,10,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8490364158310116,5.1,2.8,7.2,10.7,0.24082210502877185,0.16869103320268083
0.3,0.4,1748,15,12,9,0.6,0.75,0.6666666666666665,0.7300143962895271,11.333333333333334,3.3333333333333335,11.0,18.555555555555557,0.20864008855309304,0.417715484639195
0.45,0.1,1729,21,12,8,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.6170501373626374,15.875,1.75,15.625,27.75,0.23012515039538406,0.47551395609940783
0.45,0.1,1730,18,12,10,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5925,9.6,2.5,23.4,31.4,0.2202559527796634,0.5905942155257223
0.45,0.1,1731,18,12,8,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.6648402341061057,19.375,2.0,7.75,25.625,0.22513294266681266,0.5520537182411931
0.45,0.1,1732,17,12,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.6426565793435712,5.125,2.625,23.75,27.375,0.20203190254951964,0.590852724796538
0.45,0.1,1733,18,12,10,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.6114856218006625,19.6,3.8,11.7,30.3,0.1899991952813564,0.5959027422264929
0.45,0.1,1734,19,12,9,0.47368421052631576,0.75,0.5806451612903226,0.6307789983463263,10.88888888888889,4.333333333333333,19.11111111111111,27.333333333333332,0.20144292579491746,0.5155228042624055
0.45,0.1,1735,19,12,7,0.3684210526315789,0.5833333333333334,0.4516129032258065,0.6761345259845623,13.714285714285714,3.2857142857142856,12.714285714285714,24.142857142857142,0.21237667580063935,0.4893690977826534
0.45,0.1,1736,19,12,10,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6958385115458758,5.8,4.3,18.6,24.2,0.21313261840331865,0.44112069884592026
0.45,0.1,1737,21,12,9,0.42857142857142855,0.75,0.5454545454545454,0.5689827939207812,7.666666666666667,2.7777777777777777,27.22222222222222,33.111111111111114,0.19536281130028696,0.663652612844825
0.45,0.1,1738,20,12,8,0.4,0.6666666666666666,0.5,0.5812479082998662,19.75,4.25,14.0,32.75,0.18960053648802588,0.6566367086140315
0.45,0.1,1739,19,12,7,0.3684210526315789,0.5833333333333334,0.4516129032258065,0.5990178725233747,17.714285714285715,3.5714285714285716,15.142857142857142,29.428571428571427,0.1897186730487363,0.5787175168634136
0.45,0.1,1740,23,12,9,0.391304347826087,0.75,0.5142857142857143,0.5799786169611878,24.88888888888889,2.111111111111111,9.0,32.55555555555556,0.1743705993404259,0.5799464007333462
0.45,0.1,1741,19,12,9,0.47368421052631576,0.75,0.5806451612903226,0.6215918294240415,16.666666666666668,2.6666666666666665,13.777777777777779,29.77777777777778,0.20746855789229512,0.692456879880879
0.45,0.1,1742,19,12,7,0.3684210526315789,0.5833333333333334,0.4516129032258065,0.5836293234547659,21.0,3.2857142857142856,12.857142857142858,31.571428571428573,0.19085512442021815,0.7490680574903227
0.45,0.1,1743,19,12,9,0.47368421052631576,0.75,0.5806451612903226,0.583130081300813,13.555555555555555,3.0,19.88888888888889,33.0,0.16052127610702427,0.6212648862974797
0.45,0.1,1744,22,12,10,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.5675729517396184,5.2,1.7,29.6,33.4,0.15793720001483144,0.7004731597284133
0.45,0.1,1745,21,12,9,0.42857142857142855,0.75,0.5454545454545454,0.6419482809285924,6.222222222222222,2.2222222222222223,22.666666666666668,27.77777777777778,0.19909066540811093,0.5431762090353586
0.45,0.1,1746,19,12,8,0.42105263157894735,0.6666666666666666,0.5161290322580646,0.5635571810024822,24.375,2.75,11.25,32.625,0.19980665709118633,0.7247923549623365
0.45,0.1,1747,19,12,6,0.3157894736842105,0.5,0.3870967741935484,0.6132734869015356,22.333333333333332,1.3333333333333333,8.833333333333334,30.166666666666668,0.1436346250449121,0.5894838646565231
0.45,0.1,1748,17,12,11,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.7135864458538876,12.818181818181818,3.272727272727273,10.454545454545455,21.454545454545453,0.20996645578400824,0.3740663301168116
0.45,0.25,1729,20,12,8,0.4,0.6666666666666666,0.5,0.6601097303858932,15.875,1.75,12.25,23.875,0.24436032615527536,0.41837109895655067
0.45,0.25,1730,17,12,11,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.6227272727272727,9.0,2.909090909090909,21.545454545454547,29.09090909090909,0.224432424973577,0.5541028494951284
0.45,0.25,1731,18,12,8,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7692053134711851,15.5,2.0,3.25,17.0,0.2550401657473087,0.3416617006202598
0.45,0.25,1732,13,12,10,0.7692307692307693,0.8333333333333334,0.8,0.7790438740988717,5.1,2.9,12.7,17.0,0.24858923992275264,0.4056967280612702
0.45,0.25,1733,17,12,10,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.6114856218006625,19.6,3.8,11.7,30.3,0.1899991952813564,0.5959027422264929
0.45,0.25,1734,18,12,9,0.5,0.75,0.6,0.707689238486092,10.88888888888889,4.333333333333333,12.88888888888889,21.77777777777778,0.2161356870152987,0.34908823043287374
0.45,0.25,1735,18,12,7,0.3888888888888889,0.5833333333333334,0.4666666666666666,0.6761345259845623,13.714285714285714,3.2857142857142856,12.714285714285714,24.142857142857142,0.21237667580063935,0.4893690977826534
0.45,0.25,1736,17,12,10,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.777497341989602,5.8,4.3,12.1,16.9,0.22317343902438305,0.3696112660016414
0.45,0.25,1737,19,12,9,0.47368421052631576,0.75,0.5806451612903226,0.6217605716985589,3.4444444444444446,2.7777777777777777,27.22222222222222,28.88888888888889,0.19679651360670475,0.5580970572892694
0.45,0.25,1738,17,12,9,0.5294117647058824,0.75,0.6206896551724139,0.6723232435916505,13.88888888888889,4.111111111111111,12.555555555555555,25.333333333333332,0.22261670090707636,0.5369534275999368
0.45,0.25,1739,17,12,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.6963375051931866,11.25,4.375,13.625,22.375,0.205310993700828,0.4604676044354973
0.45,0.25,1740,17,12,9,0.5294117647058824,0.75,0.6206896551724139,0.6733064298689464,21.22222222222222,2.111111111111111,5.222222222222222,24.444444444444443,0.2031570818025856,0.4281368487239276
0.45,0.25,1741,16,12,10,0.625,0.8333333333333334,0.7142857142857143,0.7326800009789918,12.3,2.5,9.3,19.8,0.23535439428054103,0.4895652849542014
0.45,0.25,1742,17,12,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.7427551333315621,13.875,3.125,7.125,19.0,0.22592091595266237,0.43282447745005703
0.45,0.25,1743,17,12,10,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.6458457023746482,12.9,2.9,15.6,27.5,0.2027061097299921,0.5506737628201182
0.45,0.25,1744,17,12,11,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.6399499117810278,4.909090909090909,1.6363636363636365,24.09090909090909,27.363636363636363,0.20065198623687264,0.6020240058924182
0.45,0.25,1745,20,12,9,0.45,0.75,0.5625000000000001,0.6657137130273578,6.222222222222222,2.2222222222222223,20.88888888888889,26.0,0.23108042980652221,0.5217770320806261
0.45,0.25,1746,18,12,7,0.3888888888888889,0.5833333333333334,0.4666666666666666,0.5190653497171226,27.142857142857142,2.2857142857142856,12.142857142857142,35.857142857142854,0.18992496174994883,0.8038443240385885
0.45,0.25,1747,15,12,6,0.4,0.5,0.4444444444444445,0.665308370622466,18.333333333333332,1.3333333333333333,8.833333333333334,24.166666666666668,0.16838475466972347,0.544306819479478
0.45,0.25,1748,16,12,11,0.6875,0.9166666666666666,0.7857142857142857,0.7135864458538876,12.818181818181818,3.272727272727273,10.454545454545455,21.454545454545453,0.20996645578400824,0.3740663301168116
0.45,0.4,1729,16,12,9,0.5625,0.75,0.6428571428571429,0.777449741272455,11.11111111111111,1.6666666666666667,7.555555555555555,14.222222222222221,0.23276366730195047,0.30144025152273657
0.45,0.4,1730,14,12,10,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7473869926672088,6.5,3.0,14.2,17.9,0.2477148940344717,0.4010827993476395
0.45,0.4,1731,15,12,9,0.6,0.75,0.6666666666666665,0.8291514931113376,10.88888888888889,2.2222222222222223,3.111111111111111,11.555555555555555,0.2368599318594486,0.2110886300003032
0.45,0.4,1732,12,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8550402181806701,2.8,2.9,9.0,11.4,0.27906790220197564,0.23487008664042586
0.45,0.4,1733,12,12,9,0.75,0.75,0.75,0.7543378302750479,13.777777777777779,3.5555555555555554,6.111111111111111,19.22222222222222,0.23322493153822232,0.39596280717799903
0.45,0.4,1734,16,12,11,0.6875,0.9166666666666666,0.7857142857142857,0.8247348143914071,3.4545454545454546,3.727272727272727,10.909090909090908,12.363636363636363,0.246902994184192,0.21698409242423214
0.45,0.4,1735,17,12,7,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.7314144692871848,13.714285714285714,3.2857142857142856,8.142857142857142,20.428571428571427,0.21634140063694468,0.40739345038083563
0.45,0.4,1736,15,12,10,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.777497341989602,5.8,4.3,12.1,16.9,0.22317343902438305,0.3696112660016414
0.45,0.4,1737,16,12,10,0.625,0.8333333333333334,0.7142857142857143,0.7282547386803411,3.1,2.9,19.0,20.3,0.21537675145962726,0.4189390451148956
0.45,0.4,1738,14,12,11,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7902247603434703,8.545454545454545,4.181818181818182,8.454545454545455,15.727272727272727,0.27957365157150244,0.3488405350811408
0.45,0.4,1739,12,12,12,1.0,1.0,1.0,0.8352612525805297,8.583333333333334,4.083333333333333,4.75,13.0,0.2505050762009818,0.2343030360627063
0.45,0.4,1740,13,12,10,0.7692307692307693,0.8333333333333334,0.8,0.7226711143690345,17.1,2.4,5.5,20.0,0.21899038553333333,0.396062589998151
0.45,0.4,1741,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7935117525529637,11.272727272727273,2.4545454545454546,5.454545454545454,14.727272727272727,0.23884826892592528,0.37237785111652855
0.45,0.4,1742,14,12,9,0.6428571428571429,0.75,0.6923076923076924,0.7671712296280552,12.555555555555555,3.4444444444444446,6.444444444444445,17.22222222222222,0.24074927623473574,0.4100916692032955
0.45,0.4,1743,14,12,9,0.6428571428571429,0.75,0.6923076923076924,0.7140397467345105,10.444444444444445,3.111111111111111,12.666666666666666,21.11111111111111,0.23776149266419733,0.49534011632504465
0.45,0.4,1744,15,12,11,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7081861994704256,2.3636363636363638,1.6363636363636365,21.181818181818183,22.272727272727273,0.23804924594014906,0.46443483505121486
0.45,0.4,1745,15,12,11,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7866146791805669,6.090909090909091,1.9090909090909092,11.363636363636363,15.454545454545455,0.2308183479123726,0.32886055972206263
0.45,0.4,1746,15,12,8,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6255321642688811,24.0,2.875,6.625,27.875,0.23137094448985018,0.6235368529996579
0.45,0.4,1747,13,12,7,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.7513567546511892,12.571428571428571,1.7142857142857142,7.714285714285714,17.142857142857142,0.20213280776899475,0.3904534399019785
0.45,0.4,1748,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8028225806451612,7.818181818181818,3.272727272727273,8.363636363636363,15.272727272727273,0.24572444178715347,0.2591088040888975
0.6,0.1,1729,12,12,12,1.0,1.0,1.0,0.890765575930944,4.666666666666667,1.8333333333333333,4.666666666666667,7.0,0.27581831941153584,0.10807991516225353
0.6,0.1,1730,12,12,12,1.0,1.0,1.0,0.9082180803495956,3.9166666666666665,3.3333333333333335,3.75,5.0,0.28830772170730845,0.11243273018810085
0.6,0.1,1731,11,12,11,1.0,0.9166666666666666,0.9565217391304348,0.9200752732690819,3.6363636363636362,2.272727272727273,3.0,4.636363636363637,0.30449340182751183,0.07329187666901064
